"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL","AREA_SWEPT_HA","DURATION_HR","DISTANCE_FISHED_KM"
55.00333,-166.94,"A-02",50,1982,"19-JUN-1982 06:00AM",159,3.9,7.9,1,80,923,4.5147,0.5,2.593
55.01017,-166.34633,"A-03",50,1982,"26-JUN-1982 09:00AM",143,4.9,6,19,106,4261,4.2581,0.5,2.519
55.00833,-165.74,"A-04",50,1982,"18-JUN-1982 06:00PM",132,4,7.7,1,80,922,4.339,0.5,2.519
55.0105,-165.159,"A-05",50,1982,"21-JUN-1982 01:00PM",112,4.1,5.3,19,106,4260,4.0839,0.5,2.445
55.00833,-164.57667,"A-06",31,1982,"12-JUN-1982 06:00PM",59,4.5,5.5,1,80,894,4.3108,0.5,2.685
55.33,-166.97167,"B-02",50,1982,"19-JUN-1982 09:00AM",143,4,7.9,1,80,924,4.4613,0.5,2.574
55.31267,-166.34683,"B-03",50,1982,"26-JUN-1982 11:00AM",134,4.2,9.9,19,106,4262,4.821,0.5,2.852
55.34667,-165.785,"B-04",50,1982,"18-JUN-1982 04:00PM",123,3.9,7.9,1,80,921,4.5564,0.5,2.648
55.34833,-165.1655,"B-05",50,1982,"21-JUN-1982 10:00AM",112,4.1,5.3,19,106,4259,4.7336,0.5,2.834
55.32667,-164.59,"B-06",31,1982,"13-JUN-1982 06:00AM",106,3.1,5.4,1,80,895,4.5787,0.5,2.704
55.33983,-163.98083,"B-07",31,1982,"16-JUN-1982 08:00PM",73,3.7,7,19,106,4232,5.6547,0.5,3.519
55.35,-163.41667,"B-08",31,1982,"12-JUN-1982 12:00PM",55,4.4,5.7,1,80,893,4.6279,0.5,2.815
55.72,-167.5475,"C-01",50,1982,"01-JUL-1982 07:00PM",135,4.1,6.3,19,106,4290,4.8007,0.5,2.759
55.66333,-166.96833,"C-02",50,1982,"19-JUN-1982 12:00PM",137,3.9,6.9,1,80,925,3.9239,0.5,2.278
55.64783,-166.37883,"C-03",50,1982,"26-JUN-1982 02:00PM",128,4.2,6.6,19,106,4263,4.6837,0.5,2.778
55.68167,-165.80167,"C-04",50,1982,"18-JUN-1982 12:00PM",121,3.9,7.8,1,80,920,4.4333,0.5,2.593
55.686,-165.15117,"C-05",31,1982,"21-JUN-1982 07:00AM",110,4.8,5.9,19,106,4258,4.3311,0.5,2.593
55.66,-164.58,"C-06",31,1982,"13-JUN-1982 09:00AM",101,2.2,5.5,1,80,896,4.4839,0.5,2.648
