"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
57.34332,-158.4084,"H-16",10,2000,"05/23/2000 06:30:22",0.72872,0.470142,"Red King Crab","Paralithodes camtschaticus",69322,34,2.9,3.2,89,200001,1
57.98766,-158.3302,"J-16",10,2000,"05/23/2000 13:18:15",0.040276,0.503454,"Red King Crab","Paralithodes camtschaticus",69322,34,3.3,5.1,89,200001,3
58.00607,-159.595,"J-14",10,2000,"05/24/2000 06:21:31",2.526333,1.804524,"Red King Crab","Paralithodes camtschaticus",69322,42,2.4,2.5,89,200001,5
58.02471,-158.9206,"J-15",10,2000,"05/24/2000 06:25:21",0.402462,0.211822,"Red King Crab","Paralithodes camtschaticus",69322,44,3.2,3.1,88,200001,5
57.67835,-159.6348,"I-14",10,2000,"05/24/2000 08:53:07",5.687527,4.014725,"Red King Crab","Paralithodes camtschaticus",69322,50,1.6,2.1,89,200001,6
57.68984,-159.0112,"I-15",10,2000,"05/24/2000 08:59:41",4.629578,4.266892,"Red King Crab","Paralithodes camtschaticus",69322,47,2.1,3,88,200001,6
57.33875,-159.6699,"H-14",10,2000,"05/24/2000 11:24:42",7.435519,3.941088,"Red King Crab","Paralithodes camtschaticus",69322,56,1.3,2.4,89,200001,7
57.34938,-159.0675,"H-15",10,2000,"05/24/2000 11:24:19",12.897989,8.583986,"Red King Crab","Paralithodes camtschaticus",69322,49,1.9,2.4,88,200001,7
57.00474,-159.7199,"G-14",10,2000,"05/24/2000 13:50:14",10.431569,6.263261,"Red King Crab","Paralithodes camtschaticus",69322,57,1.3,2.6,89,200001,8
56.98776,-159.121,"G-15",10,2000,"05/24/2000 13:59:22",0.657802,0.234929,"Red King Crab","Paralithodes camtschaticus",69322,33,2.8,4,88,200001,8
56.6894,-159.7076,"F-14",10,2000,"05/24/2000 16:19:27",8.167111,4.156913,"Red King Crab","Paralithodes camtschaticus",69322,37,2.2,3.8,89,200001,9
56.32806,-160.9962,"E-12",10,2000,"05/25/2000 06:20:32",13.01593,7.845218,"Red King Crab","Paralithodes camtschaticus",69322,54,2.2,3.3,89,200001,10
56.66752,-160.372,"F-13",31,2000,"05/25/2000 08:55:31",8.60144,6.666116,"Red King Crab","Paralithodes camtschaticus",69322,62,1.1,3.8,88,200001,10
56.66101,-160.9876,"F-12",31,2000,"05/25/2000 08:42:38",9.105542,10.642841,"Red King Crab","Paralithodes camtschaticus",69322,67,1.1,2.8,89,200001,11
56.98182,-160.346,"G-13",31,2000,"05/25/2000 11:21:14",9.256608,6.518738,"Red King Crab","Paralithodes camtschaticus",69322,62,1.1,3.4,88,200001,11
56.99192,-160.9519,"G-12",31,2000,"05/25/2000 11:22:48",6.379398,4.708043,"Red King Crab","Paralithodes camtschaticus",69322,63,0.9,2.9,89,200001,12
57.32467,-160.2966,"H-13",31,2000,"05/25/2000 13:56:42",2.865202,2.424402,"Red King Crab","Paralithodes camtschaticus",69322,62,1.1,2.8,88,200001,12
57.31972,-160.9309,"H-12",31,2000,"05/25/2000 13:56:10",2.376252,3.884258,"Red King Crab","Paralithodes camtschaticus",69322,64,0.8,3.1,89,200001,13
58.31752,-159.5432,"K-14",10,2000,"05/26/2000 06:26:03",0.398737,0.234551,"Red King Crab","Paralithodes camtschaticus",69322,25,4.2,4.8,88,200001,14
57.65127,-160.879,"I-12",31,2000,"05/25/2000 16:24:50",3.178765,2.852738,"Red King Crab","Paralithodes camtschaticus",69322,57,1.1,2.7,89,200001,14
57.98725,-160.8453,"J-12",10,2000,"05/26/2000 06:22:36",2.632833,3.233304,"Red King Crab","Paralithodes camtschaticus",69322,45,2.4,5.8,89,200001,15
58.00105,-160.2428,"J-13",10,2000,"05/26/2000 08:51:49",9.352976,6.235317,"Red King Crab","Paralithodes camtschaticus",69322,51,1.9,2.9,89,200001,16
58.29128,-159.9651,"K-13",10,2000,"05/26/2000 11:43:06",4.139326,2.355714,"Red King Crab","Paralithodes camtschaticus",69322,43,4.1,NA,89,200001,17
58.22936,-161.5537,"K-11",10,2000,"05/27/2000 06:59:52",3.182264,1.525743,"Red King Crab","Paralithodes camtschaticus",69322,40,2.3,2.6,88,200001,19
58.00877,-161.4978,"J-11",10,2000,"05/27/2000 08:47:07",1.862877,2.19162,"Red King Crab","Paralithodes camtschaticus",69322,55,1.5,2.4,88,200001,20
58.33628,-162.053,"K-10",10,2000,"05/27/2000 06:21:58",4.206854,2.225849,"Red King Crab","Paralithodes camtschaticus",69322,47,2,2,89,200001,20
57.66209,-161.5012,"I-11",10,2000,"05/27/2000 11:16:15",12.034359,13.028021,"Red King Crab","Paralithodes camtschaticus",69322,53,1.1,2,88,200001,21
58.00928,-162.1162,"J-10",10,2000,"05/27/2000 08:45:24",3.933968,3.216452,"Red King Crab","Paralithodes camtschaticus",69322,38,1.6,2.2,89,200001,21
57.33435,-161.5404,"H-11",31,2000,"05/27/2000 13:48:12",4.824246,6.982461,"Red King Crab","Paralithodes camtschaticus",69322,56,0.9,3.5,88,200001,22
57.64946,-162.1539,"I-10",10,2000,"05/27/2000 12:01:31",5.066968,9.640691,"Red King Crab","Paralithodes camtschaticus",69322,47,1.5,2.3,89,200001,23
57.00502,-161.5613,"G-11",31,2000,"05/27/2000 16:14:19",9.364839,11.572112,"Red King Crab","Paralithodes camtschaticus",69322,69,0.9,3,88,200001,23
57.35087,-162.1489,"H-10",10,2000,"05/27/2000 14:47:54",6.036319,4.49765,"Red King Crab","Paralithodes camtschaticus",69322,50,NA,2.5,89,200001,24
56.68965,-161.5414,"F-11",31,2000,"05/28/2000 06:28:42",15.583757,9.14131,"Red King Crab","Paralithodes camtschaticus",69322,89,1.5,3.1,88,200001,24
57.01442,-162.1639,"G-10",31,2000,"05/27/2000 17:18:52",5.266775,3.185549,"Red King Crab","Paralithodes camtschaticus",69322,60,0.7,2.5,89,200001,25
56.67953,-162.1742,"F-10",31,2000,"05/28/2000 06:25:09",6.736573,4.035735,"Red King Crab","Paralithodes camtschaticus",69322,71,1.1,4.3,89,200001,26
56.34275,-162.1977,"E-10",31,2000,"05/28/2000 08:50:43",31.298204,19.561378,"Red King Crab","Paralithodes camtschaticus",69322,80,1.9,4.8,89,200001,27
55.67719,-163.9807,"C-07",31,2000,"05/29/2000 06:35:10",0.566503,0.195346,"Red King Crab","Paralithodes camtschaticus",69322,94,2.5,5.1,88,200001,28
56.00194,-162.2516,"D-10",31,2000,"05/28/2000 11:16:55",46.426791,27.683619,"Red King Crab","Paralithodes camtschaticus",69322,71,2.4,5.1,89,200001,28
55.96387,-163.9344,"D-07",31,2000,"05/29/2000 09:25:26",0.39398,0.207358,"Red King Crab","Paralithodes camtschaticus",69322,89,1.9,5.6,88,200001,29
55.99955,-162.8161,"D-09",31,2000,"05/28/2000 13:45:39",21.099651,12.551587,"Red King Crab","Paralithodes camtschaticus",69322,79,2.1,5.2,89,200001,29
55.67536,-162.8323,"C-09",10,2000,"05/28/2000 16:31:29",0.734463,0.445129,"Red King Crab","Paralithodes camtschaticus",69322,53,2.6,5.5,89,200001,30
56.01575,-164.6025,"D-06",31,2000,"05/29/2000 12:19:37",0.982805,0.401145,"Red King Crab","Paralithodes camtschaticus",69322,92,2.1,5.8,88,200001,30
56.01099,-163.3982,"D-08",31,2000,"05/29/2000 06:25:11",3.109027,1.691987,"Red King Crab","Paralithodes camtschaticus",69322,89,2,5.8,89,200001,31
55.67602,-163.4039,"C-08",31,2000,"05/29/2000 09:04:05",4.021912,1.905116,"Red King Crab","Paralithodes camtschaticus",69322,81,2.2,5.9,89,200001,32
55.34481,-163.4189,"B-08",31,2000,"05/29/2000 11:45:10",1.80828,0.469683,"Red King Crab","Paralithodes camtschaticus",69322,53,2.5,5.3,89,200001,33
56.32652,-162.6393,"E-09",31,2000,"06/01/2000 06:37:57",5.639489,2.819745,"Red King Crab","Paralithodes camtschaticus",69322,80,2.2,5.4,88,200001,38
56.65214,-162.7717,"F-09",31,2000,"06/01/2000 08:52:24",16.460913,9.999935,"Red King Crab","Paralithodes camtschaticus",69322,72,1.4,4.8,88,200001,39
56.9787,-162.7864,"G-09",31,2000,"06/01/2000 11:31:39",2.850351,2.272019,"Red King Crab","Paralithodes camtschaticus",69322,60,0.8,3.7,88,200001,40
56.3204,-163.403,"E-08",31,2000,"06/01/2000 06:25:51",1.988611,1.046637,"Red King Crab","Paralithodes camtschaticus",69322,86,1.7,NA,89,200001,41
57.34034,-162.7676,"H-09",10,2000,"06/01/2000 15:12:09",10.938285,18.70164,"Red King Crab","Paralithodes camtschaticus",69322,46,1.1,3.5,88,200001,42
56.65679,-163.3813,"F-08",31,2000,"06/01/2000 08:56:48",8.945294,4.420028,"Red King Crab","Paralithodes camtschaticus",69322,75,1.7,5.3,89,200001,42
57.65641,-162.7571,"I-09",10,2000,"06/01/2000 17:29:35",4.887989,6.890558,"Red King Crab","Paralithodes camtschaticus",69322,40,1.8,2.5,88,200001,43
56.98701,-163.3862,"G-08",31,2000,"06/01/2000 11:24:31",2.560593,1.113301,"Red King Crab","Paralithodes camtschaticus",69322,65,0.9,4.5,89,200001,43
57.32272,-163.3845,"H-08",10,2000,"06/01/2000 13:56:33",0.928548,0.442166,"Red King Crab","Paralithodes camtschaticus",69322,53,0.9,3.5,89,200001,44
57.99374,-162.7298,"J-09",10,2000,"06/02/2000 06:38:10",3.473735,2.983576,"Red King Crab","Paralithodes camtschaticus",69322,40,NA,2.8,88,200001,44
58.32601,-162.7178,"K-09",10,2000,"06/02/2000 08:57:50",1.695528,0.94196,"Red King Crab","Paralithodes camtschaticus",69322,29,NA,2.8,88,200001,45
58.65428,-163.3432,"L-08",10,2000,"06/02/2000 11:35:56",1.600324,0.676193,"Red King Crab","Paralithodes camtschaticus",69322,32,2.2,2.8,89,200001,48
59.33487,-163.9965,"N-07",10,2000,"06/03/2000 10:27:40",0.871236,0.363015,"Red King Crab","Paralithodes camtschaticus",69322,24,3.9,4.3,88,200001,51
56.32656,-164.5882,"E-06",31,2000,"06/12/2000 06:29:32",0.433581,0.21679,"Red King Crab","Paralithodes camtschaticus",69322,88,NA,6.3,89,200001,53
