"LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
57.00474,-159.7199,"G-14",10,2000,"05/24/2000 13:50:14",0.064792,0.215975,"Snow Crab","Chionoecetes opilio",68580,57,1.3,2.6,89,200001,8
56.66101,-160.9876,"F-12",31,2000,"05/25/2000 08:42:38",0.134809,0.236508,"Snow Crab","Chionoecetes opilio",68580,67,1.1,2.8,89,200001,11
56.99192,-160.9519,"G-12",31,2000,"05/25/2000 11:22:48",0.068267,0.235402,"Snow Crab","Chionoecetes opilio",68580,63,0.9,2.9,89,200001,12
57.00502,-161.5613,"G-11",31,2000,"05/27/2000 16:14:19",0.278588,0.857193,"Snow Crab","Chionoecetes opilio",68580,69,0.9,3,88,200001,23
57.35087,-162.1489,"H-10",10,2000,"05/27/2000 14:47:54",0.094687,0.236718,"Snow Crab","Chionoecetes opilio",68580,50,NA,2.5,89,200001,24
56.68965,-161.5414,"F-11",31,2000,"05/28/2000 06:28:42",0.413535,1.305901,"Snow Crab","Chionoecetes opilio",68580,89,1.5,3.1,88,200001,24
57.01442,-162.1639,"G-10",31,2000,"05/27/2000 17:18:52",0.290947,0.63711,"Snow Crab","Chionoecetes opilio",68580,60,0.7,2.5,89,200001,25
56.34275,-162.1977,"E-10",31,2000,"05/28/2000 08:50:43",0.859791,2.274579,"Snow Crab","Chionoecetes opilio",68580,80,1.9,4.8,89,200001,27
55.67719,-163.9807,"C-07",31,2000,"05/29/2000 06:35:10",1.83625,6.837102,"Snow Crab","Chionoecetes opilio",68580,94,2.5,5.1,88,200001,28
56.00194,-162.2516,"D-10",31,2000,"05/28/2000 11:16:55",1.747245,2.949894,"Snow Crab","Chionoecetes opilio",68580,71,2.4,5.1,89,200001,28
55.96387,-163.9344,"D-07",31,2000,"05/29/2000 09:25:26",1.451505,3.525085,"Snow Crab","Chionoecetes opilio",68580,89,1.9,5.6,88,200001,29
55.99955,-162.8161,"D-09",31,2000,"05/28/2000 13:45:39",1.839457,3.029693,"Snow Crab","Chionoecetes opilio",68580,79,2.1,5.2,89,200001,29
55.67536,-162.8323,"C-09",10,2000,"05/28/2000 16:31:29",0.934771,1.557952,"Snow Crab","Chionoecetes opilio",68580,53,2.6,5.5,89,200001,30
56.01575,-164.6025,"D-06",31,2000,"05/29/2000 12:19:37",1.343836,3.610305,"Snow Crab","Chionoecetes opilio",68580,92,2.1,5.8,88,200001,30
55.65657,-164.5822,"C-06",31,2000,"05/29/2000 15:06:51",2.221141,4.730208,"Snow Crab","Chionoecetes opilio",68580,95,2.9,5.9,88,200001,31
56.01099,-163.3982,"D-08",31,2000,"05/29/2000 06:25:11",1.861186,4.864463,"Snow Crab","Chionoecetes opilio",68580,89,2,5.8,89,200001,31
55.35064,-164.535,"B-06",31,2000,"05/29/2000 17:46:50",4.752033,9.504066,"Snow Crab","Chionoecetes opilio",68580,99,3.2,5.8,88,200001,32
55.67602,-163.4039,"C-08",31,2000,"05/29/2000 09:04:05",2.07446,4.021912,"Snow Crab","Chionoecetes opilio",68580,81,2.2,5.9,89,200001,32
